step,x_struct_raw_left_leg_norm,x_struct_raw_right_leg_norm,x_struct_raw_torso_norm,x_struct_raw_left_leg_var,x_struct_raw_right_leg_var,x_struct_raw_torso_var,x_struct_mixed_left_leg_norm,x_struct_mixed_right_leg_norm,x_struct_mixed_torso_norm,x_struct_mixed_left_leg_var,x_struct_mixed_right_leg_var,x_struct_mixed_torso_var,x_struct_norm_left_leg_norm,x_struct_norm_right_leg_norm,x_struct_norm_torso_norm,x_struct_norm_left_leg_var,x_struct_norm_right_leg_var,x_struct_norm_torso_var,h_struct_proj_left_leg_norm,h_struct_proj_right_leg_norm,h_struct_proj_torso_norm,h_struct_proj_left_leg_var,h_struct_proj_right_leg_var,h_struct_proj_torso_var,h_struct_pre_norm_left_leg_norm,h_struct_pre_norm_right_leg_norm,h_struct_pre_norm_torso_norm,h_struct_pre_norm_left_leg_var,h_struct_pre_norm_right_leg_var,h_struct_pre_norm_torso_var,h_struct_pre_inject_left_leg_norm,h_struct_pre_inject_right_leg_norm,h_struct_pre_inject_torso_norm,h_struct_pre_inject_left_leg_var,h_struct_pre_inject_right_leg_var,h_struct_pre_inject_torso_var,h_struct_post_inject_left_leg_norm,h_struct_post_inject_right_leg_norm,h_struct_post_inject_torso_norm,h_struct_post_inject_left_leg_var,h_struct_post_inject_right_leg_var,h_struct_post_inject_torso_var
9000,6.2113261223,6.2106199265,6.2929997444,2.8113856316,2.8370370865,2.9014244080,6.5164923668,6.5684337616,6.5326724052,2.7665696144,2.8129985332,2.8256938457,3.9668228626,3.9700415134,3.9517848492,0.9257586598,0.9272963405,0.9188731313,8.4479179382,8.4256143570,8.2281589508,0.2791165709,0.2777123451,0.2652976811,15.9598979950,15.9587116241,15.9547214508,0.9950189590,0.9948706627,0.9943763018,16.6228332520,16.6209545135,16.6236763000,1.0793792009,1.0791325569,1.0794861317,16.0651931763,16.0592708588,15.9921255112,1.0082182884,1.0074753761,0.9991357327
10000,6.3471655846,6.3483095169,6.4014320374,2.8935060501,2.9131081104,2.9714775085,6.6611208916,6.7156805992,6.6454882622,2.8491492271,2.8974714279,2.9079260826,3.9601225853,3.9614334106,3.9426810741,0.9226439595,0.9232696295,0.9146868587,8.4179821014,8.3964986801,8.1934566498,0.2771145105,0.2757982612,0.2630459666,15.9568290710,15.9552459717,15.9590673447,0.9946345091,0.9944381714,0.9949172735,16.6774864197,16.6751308441,16.6874237061,1.0864880085,1.0861792564,1.0877811909,16.0672607422,16.0620765686,15.9811210632,1.0084909201,1.0078405142,0.9978021383
11000,6.2942104340,6.3060240746,6.3044400215,2.8526771069,2.8460340500,2.8726351261,6.6170773506,6.6493210793,6.5283818245,2.8116221428,2.8204619884,2.7940649986,3.9563529491,3.9571597576,3.9364163876,0.9209326506,0.9212918282,0.9118305445,8.3967170715,8.3767585754,8.1926574707,0.2758795023,0.2745039463,0.2631629109,15.9557924271,15.9599208832,15.9717540741,0.9945051074,0.9950181842,0.9964976907,16.7269973755,16.7292251587,16.7529869080,1.0929489136,1.0932374001,1.0963457823,16.0389270782,16.0243110657,15.9389810562,1.0049365759,1.0031052828,0.9925584197
12000,6.4032349586,6.4102034569,6.4101862907,2.8722236156,2.8880016804,2.9135060310,6.7179889679,6.7619652748,6.6413297653,2.8263878822,2.8696784973,2.8502380848,3.9537010193,3.9552280903,3.9329397678,0.9197477102,0.9204729795,0.9103216529,8.4105186462,8.3903903961,8.2020063400,0.2767648399,0.2757037580,0.2640188932,15.9570026398,15.9600238800,15.9759883881,0.9946537614,0.9950304031,0.9970293045,16.7827739716,16.7848949432,16.8153476715,1.1002497673,1.1005258560,1.1045272350,16.0219020844,16.0142593384,15.9215955734,1.0028152466,1.0018565655,0.9904292226
13000,6.4766845703,6.4800090790,6.5078382492,2.9480648041,2.9700195789,3.0122909546,6.7784614563,6.8753910065,6.7457995415,2.9265670776,2.9933536053,2.9694192410,3.9402596951,3.9457767010,3.9221413136,0.9135645032,0.9161651731,0.9053749442,8.3714561462,8.3546657562,8.1431026459,0.2745553553,0.2733616233,0.2603609860,15.9612312317,15.9592838287,15.9749917984,0.9951884151,0.9949417114,0.9969102740,16.8422527313,16.8406887054,16.8709182739,1.1080702543,1.1078571081,1.1118474007,16.0336780548,16.0179710388,15.9244213104,1.0043258667,1.0023522377,0.9908164144
14000,6.1432309151,6.1415839195,6.1489963531,2.7512719631,2.7742297649,2.7824397087,6.4735984802,6.5429534912,6.4010000229,2.7461025715,2.8072040081,2.7533910275,3.9381165504,3.9401717186,3.9185237885,0.9126695991,0.9136536717,0.9038265944,8.4148063660,8.4044876099,8.2083854675,0.2775498331,0.2770058215,0.2650054097,15.9678392410,15.9693479538,15.9933385849,0.9960078001,0.9961975813,0.9992050529,16.8994865417,16.9017105103,16.9443798065,1.1156108379,1.1159030199,1.1215592623,16.0277290344,16.0175170898,15.9008312225,1.0035929680,1.0023113489,0.9879124761
15000,5.8812971115,5.8831343651,5.9022402763,2.6765992641,2.6875066757,2.7146842480,6.2172374725,6.2794299126,6.1596274376,2.6771221161,2.7225065231,2.6889092922,3.9199173450,3.9234917164,3.8996982574,0.9042473435,0.9059432745,0.8951148391,8.3220787048,8.3356657028,8.1315517426,0.2712763548,0.2725045979,0.2597724199,15.9685325623,15.9726781845,15.9991264343,0.9960953593,0.9966130853,0.9999284744,16.9543609619,16.9587821960,17.0070419312,1.1228669882,1.1234509945,1.1298735142,16.0116767883,15.9960260391,15.8900365829,1.0015889406,0.9996346235,0.9865993857
16000,6.2748432159,6.2789602280,6.2554893494,2.8512656689,2.8311724663,2.8589274883,6.6176309586,6.6288452148,6.5030965805,2.8351883888,2.8337073326,2.8341588974,3.9308278561,3.9314055443,3.9053192139,0.9094621539,0.9097350240,0.8979007602,8.3920240402,8.3884372711,8.2019281387,0.2761673331,0.2761977911,0.2649808526,15.9635782242,15.9677658081,16.0049171448,0.9954739213,0.9959950447,1.0006607771,17.0078163147,17.0134830475,17.0797214508,1.1299581528,1.1307092905,1.1395642757,15.9568548203,15.9426822662,15.8356590271,0.9947336912,0.9929641485,0.9798749685
1000,5.9038472176,5.9134016037,5.9540510178,2.7912242413,2.7869009972,2.8654508591,6.3141446114,6.3282065392,6.3142485619,2.7805478573,2.7680659294,2.8154914379,4.0741362572,4.0743970871,4.0681471825,0.9764062762,0.9765319228,0.9735512733,8.8209657669,8.7697925568,8.7127695084,0.3040617704,0.3006344140,0.2968636751,15.9608297348,15.9597511292,15.9490537643,0.9951170087,0.9949828386,0.9936505556,16.1487693787,16.1478118896,16.1393051147,1.0186851025,1.0185643435,1.0174920559,16.0395526886,16.0374088287,16.0358867645,1.0049507618,1.0046819448,1.0044918060
2000,5.9125413895,5.9154238701,5.9241843224,2.6723330021,2.6931655407,2.7093365192,6.2898082733,6.3027443886,6.2567620277,2.6445879936,2.6635959148,2.6474080086,4.0585079193,4.0593743324,4.0491824150,0.9689570069,0.9693786502,0.9645275474,8.7748489380,8.7149572372,8.6081933975,0.3009486794,0.2969133258,0.2899363339,15.9608249664,15.9586248398,15.9424943924,0.9951191545,0.9948453307,0.9928391576,16.2276420593,16.2260856628,16.2134799957,1.0286611319,1.0284638405,1.0268676281,16.0649528503,16.0624008179,16.0535640717,1.0081371069,1.0078170300,1.0067105293
