step,summary_gate,residual_gate
20000,0.2016737610,0.1487254351
1000,0.0502141938,0.0513953082
2000,0.0669422448,0.0546732247
3000,0.0834135860,0.0583743565
4000,0.0998021886,0.0687222853
5000,0.1158242300,0.0787630230
6000,0.1317824274,0.0883652270
1000,0.0502123870,0.0517800525
2000,0.0669118240,0.0553597175
3000,0.0832451880,0.0589793399
4000,0.0994644687,0.0690036416
5000,0.1153545156,0.0787355751
6000,0.1309848279,0.0879289061
7000,0.1460514069,0.0963558555
8000,0.1607529074,0.1038790643
9000,0.1754478514,0.1106729060
10000,0.1898562908,0.1168514565
11000,0.1884477586,0.1225066260
12000,0.1873298734,0.1278588474
13000,0.1861032397,0.1328232139
14000,0.1852511764,0.1376187503
15000,0.1844278574,0.1422986388
16000,0.1835259795,0.1409344226
17000,0.1828012019,0.1402078718
18000,0.1819721162,0.1397929341
19000,0.1811926812,0.1395229250
20000,0.1806089133,0.1393413991
21000,0.1798294783,0.1392108053
22000,0.1791501790,0.1390821487
23000,0.1784732193,0.1390221715
24000,0.1777550578,0.1390226036
25000,0.1769670844,0.1389905661
26000,0.1760921627,0.1388654560
27000,0.1756023765,0.1388385594
28000,0.1747416854,0.1388405263
29000,0.1739520431,0.1388377249
30000,0.1730855107,0.1387600899
31000,0.1722805947,0.1387716383
32000,0.1716422290,0.1387690753
33000,0.1709378511,0.1387988478
34000,0.1702339351,0.1387638003
35000,0.1693361253,0.1387495100
36000,0.1686914861,0.1387785077
37000,0.1678571850,0.1387593895
38000,0.1670151055,0.1386712790
39000,0.1663541049,0.1386971921
40000,0.1654796898,0.1385800838
41000,0.1647710353,0.1386124790
42000,0.1640065014,0.1385767609
43000,0.1632777303,0.1384924352
44000,0.1625718474,0.1385114640
45000,0.1618520468,0.1384731680
46000,0.1609987617,0.1384245902
47000,0.1603834331,0.1383961439
48000,0.1596821845,0.1383256167
49000,0.1587918550,0.1382421255
50000,0.1582121998,0.1382429898
51000,0.1575407684,0.1382062435
52000,0.1568643898,0.1381611228
53000,0.1561152190,0.1381736547
54000,0.1554824859,0.1380981654
55000,0.1547364146,0.1380384415
56000,0.1539795399,0.1379658431
57000,0.1533040851,0.1379960477
58000,0.1527186632,0.1378868967
59000,0.1519124806,0.1378796250
60000,0.1513164192,0.1378196329
61000,0.1506572068,0.1378439814
62000,0.1501414180,0.1377896219
63000,0.1494013518,0.1377137899
64000,0.1486854404,0.1376787126
65000,0.1480275095,0.1376945674
66000,0.1475143731,0.1375863105
67000,0.1467792988,0.1375667155
68000,0.1461551636,0.1375432462
69000,0.1453748047,0.1374802887
70000,0.1449213177,0.1374554634
71000,0.1442309171,0.1374276578
72000,0.1436057538,0.1374713033
73000,0.1429927200,0.1374169588
74000,0.1422003657,0.1373402923
75000,0.1417479515,0.1373055130
76000,0.1411762685,0.1372816116
77000,0.1407343000,0.1371887028
78000,0.1400552988,0.1371358931
79000,0.1394590437,0.1371423453
80000,0.1388573349,0.1371386349
81000,0.1383914948,0.1371284723
82000,0.1378114671,0.1370396614
83000,0.1372191608,0.1370649487
84000,0.1365831196,0.1369765997
85000,0.1361426115,0.1370559037
86000,0.1356949806,0.1370025873
87000,0.1350322962,0.1369307190
88000,0.1346419603,0.1369221210
89000,0.1341668367,0.1368739605
90000,0.1335410476,0.1368512064
91000,0.1332118064,0.1368472874
92000,0.1326914728,0.1367636025
93000,0.1322325617,0.1368235201
94000,0.1317767650,0.1367835999
95000,0.1311934739,0.1367433071
96000,0.1306632161,0.1367008388
97000,0.1301593333,0.1366845965
98000,0.1296999007,0.1366863400
99000,0.1293660551,0.1367162913
100000,0.1287342906,0.1366193891
101000,0.1282763630,0.1365915239
102000,0.1278796047,0.1365329176
103000,0.1273543686,0.1365951002
104000,0.1267541796,0.1365702003
105000,0.1263492107,0.1365517676
106000,0.1259186417,0.1365629435
107000,0.1254854947,0.1365075111
108000,0.1249887049,0.1364959031
109000,0.1245551631,0.1364533156
110000,0.1243033409,0.1364636868
111000,0.1238602549,0.1364198476
112000,0.1233679503,0.1364047080
113000,0.1229000688,0.1363701671
114000,0.1225145608,0.1363228559
115000,0.1224092618,0.1363037080
116000,0.1218976229,0.1362501830
117000,0.1214111596,0.1362557411
118000,0.1210273057,0.1362639368
119000,0.1206568256,0.1362582594
120000,0.1203554198,0.1362523884
121000,0.1198055223,0.1362172216
122000,0.1193826199,0.1362222433
123000,0.1190405935,0.1361641586
124000,0.1186300218,0.1361775994
125000,0.1182041615,0.1361113042
126000,0.1177383140,0.1361047775
127000,0.1173931733,0.1360600591
128000,0.1171100512,0.1360699087
129000,0.1166694090,0.1361154765
130000,0.1163865775,0.1360708624
131000,0.1159995124,0.1360695362
132000,0.1155642867,0.1360412687
133000,0.1153319031,0.1359772235
134000,0.1149835810,0.1359949112
135000,0.1145665944,0.1359705031
136000,0.1141602322,0.1359136403
137000,0.1140089855,0.1359556913
138000,0.1135560125,0.1359593868
139000,0.1133744717,0.1359116286
140000,0.1131152660,0.1359099895
141000,0.1126629338,0.1358939260
142000,0.1124818921,0.1358451694
143000,0.1120790318,0.1358287036
144000,0.1118054613,0.1357999742
145000,0.1113980487,0.1358333826
146000,0.1110882014,0.1358333826
147000,0.1107183769,0.1358038038
148000,0.1104748473,0.1357912719
149000,0.1102055684,0.1357436478
150000,0.1099946126,0.1357623190
151000,0.1096686870,0.1357345432
152000,0.1092532724,0.1357216835
153000,0.1091809496,0.1357292980
154000,0.1087670252,0.1356412321
155000,0.1084717363,0.1356082857
156000,0.1080646366,0.1356254518
157000,0.1078926995,0.1356343329
158000,0.1075180694,0.1356516480
159000,0.1073088422,0.1356216520
160000,0.1068911478,0.1355167329
161000,0.1065177768,0.1355689317
162000,0.1064089462,0.1355856955
163000,0.1060835198,0.1355318278
164000,0.1059017256,0.1355043799
165000,0.1054620966,0.1354948580
166000,0.1053885072,0.1354764551
167000,0.1051553562,0.1354303062
168000,0.1048268750,0.1354017556
169000,0.1046830416,0.1354075968
170000,0.1043803766,0.1353841871
171000,0.1039840803,0.1353671253
172000,0.1036923751,0.1353777796
173000,0.1034781113,0.1354232728
174000,0.1033606008,0.1353541464
175000,0.1030608267,0.1353371143
176000,0.1028048843,0.1353249997
177000,0.1026101634,0.1353627294
178000,0.1024106294,0.1352808326
179000,0.1020947248,0.1352536678
180000,0.1018325910,0.1352325529
181000,0.1016791090,0.1352041811
182000,0.1013189331,0.1351990849
183000,0.1010541990,0.1352138966
184000,0.1008728668,0.1351873279
185000,0.1006753147,0.1351424009
186000,0.1004375070,0.1351400763
187000,0.1001424119,0.1350732148
188000,0.0999324024,0.1350422502
189000,0.0998504981,0.1350652128
190000,0.0997003466,0.1350985765
191000,0.0993984193,0.1350285113
192000,0.0991923288,0.1349995136
193000,0.0989118293,0.1349895597
194000,0.0986709595,0.1349390298
195000,0.0984876454,0.1349417418
196000,0.0981825590,0.1348996311
197000,0.0978492573,0.1348848194
198000,0.0976589695,0.1347929984
199000,0.0976728350,0.1348178983
200000,0.0973480642,0.1348750442
